"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT: Sequest HT"	"# Peptides (by Search Engine): Sequest HT"	"# Protein Groups"
"-1612190288293860915"	"False"	"High"	"IsMasterProtein"	"P60842"	"Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1"	"0.000"	"281.319"	"67"	"25"	"165"	"16"	"406"	"46.1"	"5.48"	"463.27"	"25"	"1"
"945585302651271031"	"False"	"High"	"IsMasterProtein"	"P43243"	"Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2"	"0.000"	"254.653"	"39"	"27"	"85"	"27"	"847"	"94.6"	"6.25"	"249.57"	"27"	"1"
"5778599060552415361"	"False"	"High"	"IsMasterProtein"	"P52272"	"Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3"	"0.000"	"239.428"	"42"	"27"	"111"	"27"	"730"	"77.5"	"8.70"	"295.58"	"27"	"1"
"6102726942936219024"	"False"	"High"	"IsMasterProtein"	"Q14152"	"Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1"	"0.000"	"188.314"	"31"	"37"	"74"	"37"	"1382"	"166.5"	"6.79"	"186.56"	"37"	"1"
"-4155367153969888648"	"False"	"High"	"IsMasterProtein"	"P13645"	"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6"	"0.000"	"188.179"	"46"	"27"	"77"	"24"	"584"	"58.8"	"5.21"	"231.54"	"27"	"1"
"-7722253779426460975"	"False"	"High"	"IsMasterProtein"	"O00571"	"ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3"	"0.000"	"174.689"	"41"	"28"	"97"	"27"	"662"	"73.2"	"7.18"	"243.02"	"28"	"1"
"-6605193621902288169"	"False"	"High"	"IsMasterProtein"	"P35908"	"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2"	"0.000"	"157.656"	"47"	"25"	"41"	"21"	"639"	"65.4"	"8.00"	"129.77"	"25"	"1"
"6733467377289635687"	"False"	"High"	"IsMasterProtein"	"Q13838"	"Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1"	"0.000"	"138.273"	"42"	"21"	"67"	"9"	"428"	"49.0"	"5.67"	"175.53"	"21"	"1"
"3394918450034897638"	"False"	"High"	"IsMasterProtein"	"P55884"	"Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3"	"0.000"	"136.646"	"39"	"26"	"40"	"26"	"814"	"92.4"	"5.00"	"124.21"	"26"	"1"
"-3973589334991488607"	"False"	"High"	"IsMasterProtein"	"P04264"	"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6"	"0.000"	"132.204"	"36"	"24"	"39"	"22"	"644"	"66.0"	"8.12"	"123.47"	"24"	"1"
"-2089871811675690558"	"False"	"High"	"IsMasterProtein"	"P26599"	"Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1"	"0.000"	"131.894"	"47"	"13"	"31"	"13"	"531"	"57.2"	"9.17"	"114.68"	"13"	"1"
"-7043221391200171951"	"False"	"High"	"IsMasterProtein"	"Q12923"	"Tyrosine-protein phosphatase non-receptor type 13 OS=Homo sapiens OX=9606 GN=PTPN13 PE=1 SV=2"	"0.000"	"129.091"	"19"	"33"	"39"	"33"	"2485"	"276.7"	"6.42"	"103.98"	"33"	"1"
"1074215629290594570"	"False"	"High"	"IsMasterProtein"	"P22626"	"Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2"	"0.000"	"126.427"	"59"	"16"	"44"	"14"	"353"	"37.4"	"8.95"	"133.28"	"16"	"1"
"6174842833444890787"	"False"	"High"	"IsMasterProtein"	"Q99613"	"Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1"	"0.000"	"124.454"	"23"	"18"	"35"	"18"	"913"	"105.3"	"5.68"	"105.18"	"18"	"1"
"-933507358187812304"	"False"	"High"	"IsMasterProtein"	"P48634"	"Protein PRRC2A OS=Homo sapiens OX=9606 GN=PRRC2A PE=1 SV=3"	"0.000"	"121.082"	"21"	"29"	"39"	"29"	"2157"	"228.7"	"9.45"	"119.47"	"29"	"1"
"5136159273712408888"	"False"	"High"	"IsMasterProtein"	"P38919"	"Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4"	"0.000"	"118.187"	"49"	"20"	"50"	"18"	"411"	"46.8"	"6.73"	"125.12"	"20"	"1"
"-3009900426920291332"	"False"	"High"	"None"	"B5ME19"	"Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1"	"0.000"	"117.418"	"21"	"16"	"33"	"16"	"914"	"105.4"	"5.64"	"98.20"	"16"	"1"
"2758380383998066899"	"False"	"High"	"IsMasterProtein"	"Q86V81"	"THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=3"	"0.000"	"115.343"	"47"	"9"	"50"	"9"	"257"	"26.9"	"11.15"	"163.50"	"9"	"1"
"1618262664170988145"	"False"	"High"	"IsMasterProtein"	"P61978"	"Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1"	"0.000"	"112.500"	"44"	"18"	"36"	"18"	"463"	"50.9"	"5.54"	"109.26"	"18"	"1"
"1983440514863483257"	"False"	"High"	"None"	"O15523"	"ATP-dependent RNA helicase DDX3Y OS=Homo sapiens OX=9606 GN=DDX3Y PE=1 SV=2"	"0.000"	"112.305"	"27"	"20"	"76"	"19"	"660"	"73.1"	"7.55"	"179.39"	"20"	"1"
"8408211072324921186"	"False"	"High"	"IsMasterProtein"	"P78344"	"Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1"	"0.000"	"109.084"	"32"	"24"	"32"	"24"	"907"	"102.3"	"7.14"	"89.84"	"24"	"1"
"8372900262212064526"	"False"	"High"	"IsMasterProtein"	"P09651"	"Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5"	"0.000"	"105.602"	"30"	"13"	"33"	"10"	"372"	"38.7"	"9.13"	"105.69"	"13"	"1"
"-165801227635855458"	"False"	"High"	"IsMasterProtein"	"Q00839"	"Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6"	"0.000"	"104.703"	"24"	"17"	"34"	"17"	"825"	"90.5"	"6.00"	"95.53"	"17"	"1"
"-5077095867447308247"	"False"	"High"	"IsMasterProtein"	"Q9BY77"	"Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=2"	"0.000"	"103.289"	"47"	"15"	"27"	"15"	"421"	"46.1"	"9.99"	"80.79"	"15"	"1"
"500586164942944818"	"False"	"High"	"IsMasterProtein"	"P67809"	"Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3"	"0.000"	"100.868"	"47"	"9"	"26"	"6"	"324"	"35.9"	"9.88"	"78.71"	"9"	"1"
"5288684708523747991"	"False"	"High"	"IsMasterProtein"	"Q14240"	"Eukaryotic initiation factor 4A-II OS=Homo sapiens OX=9606 GN=EIF4A2 PE=1 SV=2"	"0.000"	"100.492"	"47"	"17"	"64"	"8"	"407"	"46.4"	"5.48"	"167.21"	"17"	"1"
