"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT: Sequest HT"	"# Peptides (by Search Engine): Sequest HT"	"# Protein Groups"
"-915816600694735360"	"False"	"High"	"IsMasterProtein"	"O14980"	"Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1"	"0.000"	"300.239"	"38"	"34"	"134"	"34"	"1071"	"123.3"	"6.06"	"353.63"	"34"	"1"
"-4434449094860120820"	"False"	"High"	"IsMasterProtein"	"NUP98-HOXA9"	"OS=Homo sapiens"	"0.000"	"262.587"	"34"	"15"	"97"	"14"	"587"	"60.1"	"9.67"	"289.10"	"15"	"1"
"-1612190288293860915"	"False"	"High"	"IsMasterProtein"	"P60842"	"Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1"	"0.000"	"234.297"	"64"	"24"	"134"	"15"	"406"	"46.1"	"5.48"	"353.37"	"24"	"1"
"6102726942936219024"	"False"	"High"	"IsMasterProtein"	"Q14152"	"Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1"	"0.000"	"192.577"	"27"	"38"	"62"	"38"	"1382"	"166.5"	"6.79"	"169.00"	"38"	"1"
"4024286234021820395"	"False"	"High"	"IsMasterProtein"	"P78406"	"mRNA export factor OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1"	"0.000"	"152.346"	"42"	"13"	"63"	"13"	"368"	"40.9"	"7.83"	"202.44"	"13"	"1"
"-7722253779426460975"	"False"	"High"	"IsMasterProtein"	"O00571"	"ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3"	"0.000"	"151.504"	"39"	"27"	"73"	"26"	"662"	"73.2"	"7.18"	"163.95"	"27"	"1"
"-8194889804076803831"	"False"	"High"	"IsMasterProtein"	"Q9UBU9"	"Nuclear RNA export factor 1 OS=Homo sapiens OX=9606 GN=NXF1 PE=1 SV=1"	"0.000"	"149.404"	"34"	"21"	"37"	"21"	"619"	"70.1"	"8.51"	"111.59"	"21"	"1"
"3394918450034897638"	"False"	"High"	"IsMasterProtein"	"P55884"	"Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3"	"0.000"	"140.330"	"37"	"21"	"33"	"21"	"814"	"92.4"	"5.00"	"99.71"	"21"	"1"
"155872051890046023"	"False"	"High"	"None"	"P31269"	"Homeobox protein Hox-A9 OS=Homo sapiens OX=9606 GN=HOXA9 PE=1 SV=4"	"0.000"	"138.990"	"25"	"6"	"40"	"5"	"272"	"30.2"	"8.62"	"136.90"	"6"	"1"
"-7115142250704838097"	"False"	"High"	"IsMasterProtein"	"P08670"	"Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4"	"0.000"	"127.401"	"52"	"22"	"32"	"22"	"466"	"53.6"	"5.12"	"90.46"	"22"	"1"
"-8785242188080332383"	"False"	"High"	"IsMasterProtein"	"P28838"	"Cytosol aminopeptidase OS=Homo sapiens OX=9606 GN=LAP3 PE=1 SV=3"	"0.000"	"121.018"	"50"	"21"	"37"	"21"	"519"	"56.1"	"7.93"	"92.04"	"21"	"1"
"-951770295276680131"	"False"	"High"	"IsMasterProtein"	"P09874"	"Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4"	"0.000"	"116.301"	"36"	"25"	"35"	"25"	"1014"	"113.0"	"8.88"	"87.27"	"25"	"1"
