"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT: Sequest HT"	"# Peptides (by Search Engine): Sequest HT"	"# Protein Groups"
"-915816600694735360"	"False"	"High"	"IsMasterProtein"	"O14980"	"Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1"	"0.000"	"469.666"	"45"	"44"	"187"	"44"	"1071"	"123.3"	"6.06"	"582.99"	"44"	"1"
"-4155367153969888648"	"False"	"High"	"IsMasterProtein"	"P13645"	"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6"	"0.000"	"347.641"	"42"	"32"	"126"	"27"	"584"	"58.8"	"5.21"	"429.65"	"32"	"1"
"-1042042739323188079"	"False"	"High"	"IsMasterProtein"	"Q9UQ35"	"Serine/arginine repetitive matrix protein 2 OS=Homo sapiens OX=9606 GN=SRRM2 PE=1 SV=2"	"0.000"	"306.785"	"18"	"34"	"84"	"34"	"2752"	"299.4"	"12.06"	"272.54"	"34"	"1"
"-951770295276680131"	"False"	"High"	"IsMasterProtein"	"P09874"	"Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4"	"0.000"	"279.335"	"52"	"41"	"77"	"41"	"1014"	"113.0"	"8.88"	"236.32"	"41"	"1"
"6887775823956767803"	"False"	"High"	"IsMasterProtein"	"P25440"	"Bromodomain-containing protein 2 OS=Homo sapiens OX=9606 GN=BRD2 PE=1 SV=2"	"0.000"	"263.898"	"38"	"29"	"56"	"27"	"801"	"88.0"	"9.09"	"198.53"	"29"	"1"
"-1612190288293860915"	"False"	"High"	"IsMasterProtein"	"P60842"	"Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1"	"0.000"	"257.836"	"60"	"26"	"95"	"16"	"406"	"46.1"	"5.48"	"270.49"	"26"	"1"
"-8194889804076803831"	"False"	"High"	"IsMasterProtein"	"Q9UBU9"	"Nuclear RNA export factor 1 OS=Homo sapiens OX=9606 GN=NXF1 PE=1 SV=1"	"0.000"	"237.252"	"42"	"21"	"61"	"21"	"619"	"70.1"	"8.51"	"197.54"	"21"	"1"
"8199308046116639924"	"False"	"High"	"IsMasterProtein"	"Q29RF7"	"Sister chromatid cohesion protein PDS5 homolog A OS=Homo sapiens OX=9606 GN=PDS5A PE=1 SV=1"	"0.000"	"234.798"	"30"	"37"	"57"	"36"	"1337"	"150.7"	"7.91"	"173.36"	"37"	"1"
"-3973589334991488607"	"False"	"High"	"IsMasterProtein"	"P04264"	"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6"	"0.000"	"217.108"	"49"	"33"	"68"	"29"	"644"	"66.0"	"8.12"	"212.07"	"33"	"1"
"4751284344252295029"	"False"	"High"	"IsMasterProtein"	"P06748"	"Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2"	"0.000"	"193.521"	"44"	"10"	"33"	"10"	"294"	"32.6"	"4.78"	"145.89"	"10"	"1"
